GEOID,INDX,MSA,GINI,GINI_ERR
310M200US26740,26740,"Hutchinson, KS Micro Area",0.4241,0.0146
310M200US26780,26780,"Hutchinson, MN Micro Area",0.3911,0.0148
310M200US26820,26820,"Idaho Falls, ID Metro Area",0.4212,0.0135
310M200US26860,26860,"Indiana, PA Micro Area",0.4593,0.013
310M200US26900,26900,"Indianapolis-Carmel-Anderson, IN Metro Area",0.4591,0.0035
310M200US26940,26940,"Indianola, MS Micro Area",0.5071,0.036
310M200US26960,26960,"Ionia, MI Micro Area",0.3957,0.0112
310M200US26980,26980,"Iowa City, IA Metro Area",0.4725,0.0119
310M200US27020,27020,"Iron Mountain, MI-WI Micro Area",0.4346,0.021
310M200US27060,27060,"Ithaca, NY Metro Area",0.4925,0.0155
310M200US27100,27100,"Jackson, MI Metro Area",0.4373,0.0081
310M200US27140,27140,"Jackson, MS Metro Area",0.4864,0.0068
310M200US27160,27160,"Jackson, OH Micro Area",0.4443,0.0137
310M200US27180,27180,"Jackson, TN Metro Area",0.4735,0.0143
310M200US27220,27220,"Jackson, WY-ID Micro Area",0.4771,0.0446
310M200US27260,27260,"Jacksonville, FL Metro Area",0.4691,0.0053
310M200US27300,27300,"Jacksonville, IL Micro Area",0.4288,0.012
310M200US27340,27340,"Jacksonville, NC Metro Area",0.3991,0.0127
310M200US27380,27380,"Jacksonville, TX Micro Area",0.4817,0.0265
310M200US27420,27420,"Jamestown, ND Micro Area",0.4416,0.022
310M200US27460,27460,"Jamestown-Dunkirk-Fredonia, NY Micro Area",0.4323,0.0097
310M200US27500,27500,"Janesville-Beloit, WI Metro Area",0.4118,0.0091
310M200US27540,27540,"Jasper, IN Micro Area",0.4028,0.0184
310M200US27600,27600,"Jefferson, GA Micro Area",0.4194,0.0142
310M200US27620,27620,"Jefferson City, MO Metro Area",0.4168,0.0117
310M200US27700,27700,"Jesup, GA Micro Area",0.4457,0.0229
310M200US27740,27740,"Johnson City, TN Metro Area",0.4866,0.0119
310M200US27780,27780,"Johnstown, PA Metro Area",0.4388,0.0075
310M200US27860,27860,"Jonesboro, AR Metro Area",0.478,0.0158
310M200US27900,27900,"Joplin, MO Metro Area",0.4512,0.0121
310M200US27920,27920,"Junction City, KS Micro Area",0.403,0.0258
310M200US27940,27940,"Juneau, AK Micro Area",0.3738,0.0139
310M200US27980,27980,"Kahului-Wailuku-Lahaina, HI Metro Area",0.4424,0.0105
310M200US28020,28020,"Kalamazoo-Portage, MI Metro Area",0.462,0.0065
310M200US28060,28060,"Kalispell, MT Micro Area",0.4506,0.0205
310M200US28100,28100,"Kankakee, IL Metro Area",0.4198,0.0097
310M200US28140,28140,"Kansas City, MO-KS Metro Area",0.4519,0.0031
310M200US28180,28180,"Kapaa, HI Micro Area",0.4259,0.0176
310M200US28260,28260,"Kearney, NE Micro Area",0.4102,0.0126
310M200US28300,28300,"Keene, NH Micro Area",0.4429,0.0155
310M200US28340,28340,"Kendallville, IN Micro Area",0.4012,0.0175
310M200US28380,28380,"Kennett, MO Micro Area",0.4634,0.0178
310M200US28420,28420,"Kennewick-Richland, WA Metro Area",0.4284,0.008
310M200US28500,28500,"Kerrville, TX Micro Area",0.464,0.0203
310M200US28540,28540,"Ketchikan, AK Micro Area",0.4057,0.0139
310M200US28580,28580,"Key West, FL Micro Area",0.5037,0.0189
310M200US28620,28620,"Kill Devil Hills, NC Micro Area",0.4207,0.0206
310M200US28660,28660,"Killeen-Temple, TX Metro Area",0.4179,0.0071
310M200US28700,28700,"Kingsport-Bristol-Bristol, TN-VA Metro Area",0.4646,0.0069
310M200US28740,28740,"Kingston, NY Metro Area",0.4556,0.0095
310M200US28780,28780,"Kingsville, TX Micro Area",0.4793,0.0263
310M200US28820,28820,"Kinston, NC Micro Area",0.447,0.013
310M200US28860,28860,"Kirksville, MO Micro Area",0.4737,0.0164
310M200US28900,28900,"Klamath Falls, OR Micro Area",0.436,0.012
310M200US28940,28940,"Knoxville, TN Metro Area",0.4711,0.0041
310M200US29020,29020,"Kokomo, IN Metro Area",0.4434,0.0099
310M200US29060,29060,"Laconia, NH Micro Area",0.4257,0.0148
310M200US29100,29100,"La Crosse-Onalaska, WI-MN Metro Area",0.4276,0.0104
310M200US29180,29180,"Lafayette, LA Metro Area",0.4813,0.0064
310M200US29200,29200,"Lafayette-West Lafayette, IN Metro Area",0.4621,0.0122
310M200US29260,29260,"La Grande, OR Micro Area",0.4664,0.0219
310M200US29300,29300,"LaGrange, GA Micro Area",0.4781,0.0178
310M200US29340,29340,"Lake Charles, LA Metro Area",0.47,0.0083
310M200US29380,29380,"Lake City, FL Micro Area",0.4467,0.0186
310M200US29420,29420,"Lake Havasu City-Kingman, AZ Metro Area",0.435,0.0104
310M200US29460,29460,"Lakeland-Winter Haven, FL Metro Area",0.4328,0.006
310M200US29500,29500,"Lamesa, TX Micro Area",0.4985,0.0303
310M200US29540,29540,"Lancaster, PA Metro Area",0.4175,0.0047
310M200US29620,29620,"Lansing-East Lansing, MI Metro Area",0.4492,0.0056
310M200US29660,29660,"Laramie, WY Micro Area",0.4896,0.0169
310M200US29700,29700,"Laredo, TX Metro Area",0.4782,0.0118
310M200US29740,29740,"Las Cruces, NM Metro Area",0.4813,0.0128
310M200US29780,29780,"Las Vegas, NM Micro Area",0.5115,0.028
310M200US29820,29820,"Las Vegas-Henderson-Paradise, NV Metro Area",0.4481,0.0031
310M200US29860,29860,"Laurel, MS Micro Area",0.4736,0.0154
310M200US29900,29900,"Laurinburg, NC Micro Area",0.4648,0.0148
310M200US29940,29940,"Lawrence, KS Metro Area",0.4653,0.0135
310M200US29980,29980,"Lawrenceburg, TN Micro Area",0.4416,0.0318
310M200US30020,30020,"Lawton, OK Metro Area",0.4387,0.0128
310M200US30060,30060,"Lebanon, MO Micro Area",0.4181,0.0157
310M200US30140,30140,"Lebanon, PA Metro Area",0.4081,0.0104
310M200US30220,30220,"Levelland, TX Micro Area",0.441,0.0208
310M200US30260,30260,"Lewisburg, PA Micro Area",0.4496,0.0192
310M200US30280,30280,"Lewisburg, TN Micro Area",0.4365,0.0218
310M200US30300,30300,"Lewiston, ID-WA Metro Area",0.4235,0.0121
310M200US30340,30340,"Lewiston-Auburn, ME Metro Area",0.4382,0.0143
310M200US30380,30380,"Lewistown, PA Micro Area",0.402,0.0106
310M200US30420,30420,"Lexington, NE Micro Area",0.3769,0.0148
310M200US30460,30460,"Lexington-Fayette, KY Metro Area",0.4785,0.0075
310M200US30580,30580,"Liberal, KS Micro Area",0.3957,0.0251
310M200US30620,30620,"Lima, OH Metro Area",0.449,0.0116
310M200US30660,30660,"Lincoln, IL Micro Area",0.4326,0.0209
310M200US30700,30700,"Lincoln, NE Metro Area",0.4426,0.0053
310M200US30780,30780,"Little Rock-North Little Rock-Conway, AR Metro Area",0.4501,0.005
310M200US30820,30820,"Lock Haven, PA Micro Area",0.4192,0.0158
310M200US30860,30860,"Logan, UT-ID Metro Area",0.4217,0.0127
310M200US30880,30880,"Logan, WV Micro Area",0.4487,0.0153
310M200US30900,30900,"Logansport, IN Micro Area",0.4298,0.027
310M200US30940,30940,"London, KY Micro Area",0.4688,0.0154
310M200US30980,30980,"Longview, TX Metro Area",0.4564,0.0093
310M200US31020,31020,"Longview, WA Metro Area",0.4367,0.0118
310M200US31060,31060,"Los Alamos, NM Micro Area",0.3718,0.0181
310M200US31080,31080,"Los Angeles-Long Beach-Anaheim, CA Metro Area",0.4928,0.0013
310M200US31140,31140,"Louisville/Jefferson County, KY-IN Metro Area",0.4615,0.0052
310M200US31180,31180,"Lubbock, TX Metro Area",0.4837,0.0081
310M200US31220,31220,"Ludington, MI Micro Area",0.4354,0.02
310M200US31260,31260,"Lufkin, TX Micro Area",0.4731,0.0278
310M200US31300,31300,"Lumberton, NC Micro Area",0.4845,0.0107
310M200US31340,31340,"Lynchburg, VA Metro Area",0.4422,0.0068
310M200US31380,31380,"Macomb, IL Micro Area",0.4858,0.0148
310M200US31420,31420,"Macon, GA Metro Area",0.4925,0.0071
310M200US31460,31460,"Madera, CA Metro Area",0.4441,0.0131
310M200US31500,31500,"Madison, IN Micro Area",0.4049,0.0173
310M200US31540,31540,"Madison, WI Metro Area",0.4376,0.0054
310M200US31580,31580,"Madisonville, KY Micro Area",0.4417,0.0157
310M200US31620,31620,"Magnolia, AR Micro Area",0.4634,0.0181
310M200US31660,31660,"Malone, NY Micro Area",0.4357,0.014
310M200US31680,31680,"Malvern, AR Micro Area",0.4241,0.0357
310M200US31700,31700,"Manchester-Nashua, NH Metro Area",0.4257,0.0057
310M200US31740,31740,"Manhattan, KS Metro Area",0.4665,0.0172
310M200US31820,31820,"Manitowoc, WI Micro Area",0.4069,0.01
310M200US31860,31860,"Mankato-North Mankato, MN Metro Area",0.4288,0.0099
310M200US31900,31900,"Mansfield, OH Metro Area",0.4306,0.0113
310M200US31930,31930,"Marietta, OH Micro Area",0.4495,0.0123
310M200US31940,31940,"Marinette, WI-MI Micro Area",0.4174,0.0103
310M200US31980,31980,"Marion, IN Micro Area",0.4293,0.0149
310M200US32000,32000,"Marion, NC Micro Area",0.4352,0.019
310M200US32020,32020,"Marion, OH Micro Area",0.4283,0.0146
310M200US32100,32100,"Marquette, MI Micro Area",0.4502,0.0116
310M200US32140,32140,"Marshall, MN Micro Area",0.4544,0.0369
310M200US32180,32180,"Marshall, MO Micro Area",0.4158,0.0152
310M200US32220,32220,"Marshall, TX Micro Area",0.463,0.0181
310M200US32260,32260,"Marshalltown, IA Micro Area",0.3965,0.0166
310M200US32280,32280,"Martin, TN Micro Area",0.4583,0.014
310M200US32300,32300,"Martinsville, VA Micro Area",0.4434,0.0135
310M200US32340,32340,"Maryville, MO Micro Area",0.4473,0.0202
310M200US32380,32380,"Mason City, IA Micro Area",0.4383,0.0202
310M200US32460,32460,"Mayfield, KY Micro Area",0.4567,0.0201
310M200US32500,32500,"Maysville, KY Micro Area",0.5156,0.0354
310M200US32540,32540,"McAlester, OK Micro Area",0.4559,0.0183
310M200US32580,32580,"McAllen-Edinburg-Mission, TX Metro Area",0.4901,0.0068
310M200US32620,32620,"McComb, MS Micro Area",0.4811,0.019
310M200US32660,32660,"McMinnville, TN Micro Area",0.474,0.0269
310M200US32700,32700,"McPherson, KS Micro Area",0.4031,0.018
310M200US32740,32740,"Meadville, PA Micro Area",0.4243,0.0096
310M200US32780,32780,"Medford, OR Metro Area",0.4511,0.0097
310M200US32820,32820,"Memphis, TN-MS-AR Metro Area",0.4797,0.0045
310M200US32860,32860,"Menomonie, WI Micro Area",0.4096,0.0134
310M200US32900,32900,"Merced, CA Metro Area",0.4607,0.01
310M200US32940,32940,"Meridian, MS Micro Area",0.4859,0.0108
310M200US32980,32980,"Merrill, WI Micro Area",0.4019,0.014
310M200US33020,33020,"Mexico, MO Micro Area",0.4009,0.0218
310M200US33060,33060,"Miami, OK Micro Area",0.4321,0.0088
310M200US33100,33100,"Miami-Fort Lauderdale-West Palm Beach, FL Metro Area",0.505,0.0026
310M200US33140,33140,"Michigan City-La Porte, IN Metro Area",0.4325,0.0109
310M200US33180,33180,"Middlesborough, KY Micro Area",0.4729,0.0171
310M200US33220,33220,"Midland, MI Metro Area",0.4594,0.0109
310M200US33260,33260,"Midland, TX Metro Area",0.485,0.0166
310M200US33300,33300,"Milledgeville, GA Micro Area",0.5109,0.0266
310M200US33340,33340,"Milwaukee-Waukesha-West Allis, WI Metro Area",0.4659,0.0028
310M200US33420,33420,"Mineral Wells, TX Micro Area",0.4821,0.0243
310M200US33460,33460,"Minneapolis-St. Paul-Bloomington, MN-WI Metro Area",0.4435,0.0021
310M200US33500,33500,"Minot, ND Micro Area",0.4263,0.0171
310M200US33540,33540,"Missoula, MT Metro Area",0.4522,0.0129
310M200US33580,33580,"Mitchell, SD Micro Area",0.4055,0.0196
310M200US33620,33620,"Moberly, MO Micro Area",0.4243,0.0198
310M200US33660,33660,"Mobile, AL Metro Area",0.4732,0.0075
310M200US33700,33700,"Modesto, CA Metro Area",0.4493,0.0076
310M200US33740,33740,"Monroe, LA Metro Area",0.4945,0.0092
310M200US33780,33780,"Monroe, MI Metro Area",0.4119,0.009
310M200US33860,33860,"Montgomery, AL Metro Area",0.457,0.0065
310M200US33940,33940,"Montrose, CO Micro Area",0.4153,0.0125
310M200US33980,33980,"Morehead City, NC Micro Area",0.4501,0.0126
310M200US34020,34020,"Morgan City, LA Micro Area",0.4626,0.0138
310M200US34060,34060,"Morgantown, WV Metro Area",0.4914,0.0092
310M200US34100,34100,"Morristown, TN Metro Area",0.4519,0.0141
310M200US34140,34140,"Moscow, ID Micro Area",0.4669,0.0208
310M200US34180,34180,"Moses Lake, WA Micro Area",0.4139,0.0147
310M200US34220,34220,"Moultrie, GA Micro Area",0.4772,0.0232
310M200US34260,34260,"Mountain Home, AR Micro Area",0.4395,0.0242
310M200US34300,34300,"Mountain Home, ID Micro Area",0.4057,0.035
310M200US34340,34340,"Mount Airy, NC Micro Area",0.452,0.0111
310M200US34380,34380,"Mount Pleasant, MI Micro Area",0.4845,0.0131
310M200US34420,34420,"Mount Pleasant, TX Micro Area",0.438,0.0191
310M200US34460,34460,"Mount Sterling, KY Micro Area",0.4839,0.0342
310M200US34500,34500,"Mount Vernon, IL Micro Area",0.4564,0.0198
310M200US34540,34540,"Mount Vernon, OH Micro Area",0.4357,0.0171
310M200US34580,34580,"Mount Vernon-Anacortes, WA Metro Area",0.4284,0.0099
310M200US34620,34620,"Muncie, IN Metro Area",0.4674,0.0163
310M200US34660,34660,"Murray, KY Micro Area",0.4736,0.024
310M200US34700,34700,"Muscatine, IA Micro Area",0.4067,0.0179
310M200US34740,34740,"Muskegon, MI Metro Area",0.4419,0.0094
310M200US34780,34780,"Muskogee, OK Micro Area",0.4523,0.0124
310M200US34820,34820,"Myrtle Beach-Conway-North Myrtle Beach, SC-NC Metro Area",0.4471,0.0075
310M200US34860,34860,"Nacogdoches, TX Micro Area",0.4833,0.0187
310M200US34900,34900,"Napa, CA Metro Area",0.4585,0.0107
310M200US34940,34940,"Naples-Immokalee-Marco Island, FL Metro Area",0.5324,0.0137
310M200US34980,34980,"Nashville-Davidson--Murfreesboro--Franklin, TN Metro Area",0.4651,0.0033
310M200US35020,35020,"Natchez, MS-LA Micro Area",0.5095,0.0182
310M200US35060,35060,"Natchitoches, LA Micro Area",0.5323,0.0176
310M200US35100,35100,"New Bern, NC Metro Area",0.4414,0.0141
310M200US35140,35140,"Newberry, SC Micro Area",0.4416,0.0197
310M200US35220,35220,"New Castle, IN Micro Area",0.4326,0.0187
310M200US35260,35260,"New Castle, PA Micro Area",0.4355,0.0104
310M200US35300,35300,"New Haven-Milford, CT Metro Area",0.4675,0.0039
310M200US35380,35380,"New Orleans-Metairie, LA Metro Area",0.4954,0.0038
310M200US35420,35420,"New Philadelphia-Dover, OH Micro Area",0.4156,0.0096
310M200US35440,35440,"Newport, OR Micro Area",0.4327,0.0146
310M200US35460,35460,"Newport, TN Micro Area",0.4793,0.0264
310M200US35500,35500,"Newton, IA Micro Area",0.4067,0.0183
310M200US35580,35580,"New Ulm, MN Micro Area",0.4298,0.0171
310M200US35620,35620,"New York-Newark-Jersey City, NY-NJ-PA Metro Area",0.5062,0.0012
310M200US35660,35660,"Niles-Benton Harbor, MI Metro Area",0.4573,0.0082
310M200US35700,35700,"Nogales, AZ Micro Area",0.4662,0.0163
310M200US35740,35740,"Norfolk, NE Micro Area",0.4317,0.0189
310M200US35820,35820,"North Platte, NE Micro Area",0.4325,0.018
310M200US35840,35840,"North Port-Sarasota-Bradenton, FL Metro Area",0.4735,0.0061
310M200US35860,35860,"North Vernon, IN Micro Area",0.4038,0.0237
310M200US35900,35900,"North Wilkesboro, NC Micro Area",0.4676,0.0169
310M200US35940,35940,"Norwalk, OH Micro Area",0.3964,0.0104
310M200US35980,35980,"Norwich-New London, CT Metro Area",0.4297,0.0062
310M200US36020,36020,"Oak Harbor, WA Micro Area",0.4187,0.0187
310M200US36100,36100,"Ocala, FL Metro Area",0.4356,0.0088
310M200US36140,36140,"Ocean City, NJ Metro Area",0.4527,0.0123
310M200US36220,36220,"Odessa, TX Metro Area",0.4522,0.0172
310M200US36260,36260,"Ogden-Clearfield, UT Metro Area",0.3979,0.0052
310M200US36300,36300,"Ogdensburg-Massena, NY Micro Area",0.4561,0.0145
310M200US36340,36340,"Oil City, PA Micro Area",0.4101,0.0137
310M200US36380,36380,"Okeechobee, FL Micro Area",0.4766,0.03
310M200US36420,36420,"Oklahoma City, OK Metro Area",0.4635,0.0047
310M200US36460,36460,"Olean, NY Micro Area",0.4196,0.009
310M200US36500,36500,"Olympia-Tumwater, WA Metro Area",0.4034,0.0069
310M200US36540,36540,"Omaha-Council Bluffs, NE-IA Metro Area",0.4389,0.0034
310M200US36580,36580,"Oneonta, NY Micro Area",0.437,0.0118
310M200US36620,36620,"Ontario, OR-ID Micro Area",0.4454,0.0209
310M200US36660,36660,"Opelousas, LA Micro Area",0.4973,0.0141
310M200US36700,36700,"Orangeburg, SC Micro Area",0.475,0.0124
310M200US36740,36740,"Orlando-Kissimmee-Sanford, FL Metro Area",0.4622,0.004
310M200US36780,36780,"Oshkosh-Neenah, WI Metro Area",0.4317,0.0104
310M200US36820,36820,"Oskaloosa, IA Micro Area",0.4392,0.0263
310M200US36830,36830,"Othello, WA Micro Area",0.4039,0.0205
310M200US36840,36840,"Ottawa, KS Micro Area",0.407,0.0263
310M200US36860,36860,"Ottawa-Peru, IL Micro Area",0.4223,0.0077
310M200US36900,36900,"Ottumwa, IA Micro Area",0.4356,0.0172
310M200US36940,36940,"Owatonna, MN Micro Area",0.4174,0.0158
310M200US36980,36980,"Owensboro, KY Metro Area",0.4245,0.008
310M200US37020,37020,"Owosso, MI Micro Area",0.4121,0.0115
310M200US37060,37060,"Oxford, MS Micro Area",0.5224,0.0253
310M200US37080,37080,"Oxford, NC Micro Area",0.4114,0.0127
310M200US37100,37100,"Oxnard-Thousand Oaks-Ventura, CA Metro Area",0.4429,0.005
310M200US37120,37120,"Ozark, AL Micro Area",0.434,0.0105
310M200US37140,37140,"Paducah, KY-IL Micro Area",0.4723,0.0145
310M200US37220,37220,"Pahrump, NV Micro Area",0.4335,0.0202
310M200US37260,37260,"Palatka, FL Micro Area",0.4686,0.0198
310M200US37300,37300,"Palestine, TX Micro Area",0.4546,0.0207
310M200US37340,37340,"Palm Bay-Melbourne-Titusville, FL Metro Area",0.4474,0.0055
310M200US37420,37420,"Pampa, TX Micro Area",0.4363,0.0385
310M200US37460,37460,"Panama City, FL Metro Area",0.4355,0.0084
310M200US37500,37500,"Paragould, AR Micro Area",0.4287,0.0149
310M200US37540,37540,"Paris, TN Micro Area",0.4657,0.0269
310M200US37580,37580,"Paris, TX Micro Area",0.4491,0.0141
310M200US37620,37620,"Parkersburg-Vienna, WV Metro Area",0.4563,0.0142
310M200US37660,37660,"Parsons, KS Micro Area",0.4069,0.0207
310M200US37740,37740,"Payson, AZ Micro Area",0.4274,0.0161
310M200US37780,37780,"Pecos, TX Micro Area",0.4734,0.0449
310M200US37860,37860,"Pensacola-Ferry Pass-Brent, FL Metro Area",0.4437,0.0069
310M200US37900,37900,"Peoria, IL Metro Area",0.4348,0.007
310M200US37940,37940,"Peru, IN Micro Area",0.4158,0.0243
310M200US37980,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metro Area",0.4766,0.0013
310M200US38060,38060,"Phoenix-Mesa-Scottsdale, AZ Metro Area",0.4584,0.0022
310M200US38100,38100,"Picayune, MS Micro Area",0.447,0.0172
310M200US38180,38180,"Pierre, SD Micro Area",0.4152,0.0224
310M200US38220,38220,"Pine Bluff, AR Metro Area",0.4749,0.0122
310M200US38240,38240,"Pinehurst-Southern Pines, NC Micro Area",0.4816,0.0203
310M200US38260,38260,"Pittsburg, KS Micro Area",0.4613,0.0248
310M200US38300,38300,"Pittsburgh, PA Metro Area",0.4664,0.0027
310M200US38340,38340,"Pittsfield, MA Metro Area",0.4723,0.0092
310M200US38380,38380,"Plainview, TX Micro Area",0.436,0.0178
310M200US38420,38420,"Platteville, WI Micro Area",0.4055,0.0101
310M200US38460,38460,"Plattsburgh, NY Micro Area",0.4385,0.0124
310M200US38500,38500,"Plymouth, IN Micro Area",0.416,0.0149
310M200US38540,38540,"Pocatello, ID Metro Area",0.4394,0.0137
310M200US38580,38580,"Point Pleasant, WV-OH Micro Area",0.4483,0.0169
310M200US38620,38620,"Ponca City, OK Micro Area",0.4425,0.0118
310M200US38700,38700,"Pontiac, IL Micro Area",0.4203,0.0199
310M200US38740,38740,"Poplar Bluff, MO Micro Area",0.4381,0.0182
310M200US38780,38780,"Portales, NM Micro Area",0.4417,0.0238
310M200US38820,38820,"Port Angeles, WA Micro Area",0.4211,0.01
310M200US38840,38840,"Port Clinton, OH Micro Area",0.4067,0.0116
310M200US38860,38860,"Portland-South Portland, ME Metro Area",0.4493,0.0063
310M200US38900,38900,"Portland-Vancouver-Hillsboro, OR-WA Metro Area",0.4492,0.0033
310M200US38920,38920,"Port Lavaca, TX Micro Area",0.4318,0.0205
310M200US38940,38940,"Port St. Lucie, FL Metro Area",0.4904,0.0088
310M200US39020,39020,"Portsmouth, OH Micro Area",0.4671,0.0153
310M200US39060,39060,"Pottsville, PA Micro Area",0.4152,0.0072
310M200US39140,39140,"Prescott, AZ Metro Area",0.4362,0.0084
310M200US39220,39220,"Price, UT Micro Area",0.4043,0.0152
310M200US39260,39260,"Prineville, OR Micro Area",0.4205,0.0188
310M200US39300,39300,"Providence-Warwick, RI-MA Metro Area",0.4661,0.0032
310M200US39340,39340,"Provo-Orem, UT Metro Area",0.4156,0.007
310M200US39380,39380,"Pueblo, CO Metro Area",0.4437,0.0092
310M200US39420,39420,"Pullman, WA Micro Area",0.5241,0.0139
310M200US39460,39460,"Punta Gorda, FL Metro Area",0.4314,0.0094
310M200US39500,39500,"Quincy, IL-MO Micro Area",0.4232,0.0125
310M200US39540,39540,"Racine, WI Metro Area",0.4308,0.0079
310M200US39580,39580,"Raleigh, NC Metro Area",0.4439,0.0035
310M200US39660,39660,"Rapid City, SD Metro Area",0.4305,0.0126
310M200US39700,39700,"Raymondville, TX Micro Area",0.5001,0.0206
310M200US39740,39740,"Reading, PA Metro Area",0.4322,0.0064
310M200US39780,39780,"Red Bluff, CA Micro Area",0.4269,0.0115
310M200US39820,39820,"Redding, CA Metro Area",0.4464,0.008
310M200US39860,39860,"Red Wing, MN Micro Area",0.4328,0.0207
310M200US39900,39900,"Reno, NV Metro Area",0.468,0.0076
310M200US39940,39940,"Rexburg, ID Micro Area",0.4717,0.0236
310M200US39980,39980,"Richmond, IN Micro Area",0.4548,0.0141
310M200US40060,40060,"Richmond, VA Metro Area",0.4507,0.0033
310M200US40080,40080,"Richmond-Berea, KY Micro Area",0.4594,0.0098
310M200US40100,40100,"Rio Grande City, TX Micro Area",0.4887,0.0143
310M200US40140,40140,"Riverside-San Bernardino-Ontario, CA Metro Area",0.4414,0.0024
310M200US40180,40180,"Riverton, WY Micro Area",0.4081,0.0128
310M200US40220,40220,"Roanoke, VA Metro Area",0.4448,0.0083
310M200US40260,40260,"Roanoke Rapids, NC Micro Area",0.4723,0.0151
310M200US40300,40300,"Rochelle, IL Micro Area",0.4059,0.012
310M200US40340,40340,"Rochester, MN Metro Area",0.4332,0.0061
310M200US40380,40380,"Rochester, NY Metro Area",0.4498,0.0039
310M200US40420,40420,"Rockford, IL Metro Area",0.448,0.0078
310M200US40460,40460,"Rockingham, NC Micro Area",0.4505,0.0168
310M200US40540,40540,"Rock Springs, WY Micro Area",0.3818,0.0138
310M200US40580,40580,"Rocky Mount, NC Metro Area",0.4519,0.01
310M200US40620,40620,"Rolla, MO Micro Area",0.4485,0.0194
310M200US40660,40660,"Rome, GA Metro Area",0.4612,0.0122
310M200US40700,40700,"Roseburg, OR Micro Area",0.4231,0.0108
310M200US40740,40740,"Roswell, NM Micro Area",0.4443,0.018
310M200US40780,40780,"Russellville, AR Micro Area",0.4376,0.0133
310M200US40820,40820,"Ruston, LA Micro Area",0.5434,0.0212
310M200US40860,40860,"Rutland, VT Micro Area",0.4296,0.012
310M200US40900,40900,"Sacramento--Roseville--Arden-Arcade, CA Metro Area",0.4549,0.0033
310M200US40940,40940,"Safford, AZ Micro Area",0.4242,0.0185
310M200US40980,40980,"Saginaw, MI Metro Area",0.4439,0.0067
310M200US41060,41060,"St. Cloud, MN Metro Area",0.4159,0.0071
310M200US41100,41100,"St. George, UT Metro Area",0.4278,0.0128
310M200US41140,41140,"St. Joseph, MO-KS Metro Area",0.4434,0.0193
310M200US41180,41180,"St. Louis, MO-IL Metro Area",0.4623,0.0028
310M200US41220,41220,"St. Marys, GA Micro Area",0.4048,0.0183
310M200US41400,41400,"Salem, OH Micro Area",0.4322,0.0135
310M200US41420,41420,"Salem, OR Metro Area",0.4268,0.007
310M200US41460,41460,"Salina, KS Micro Area",0.4418,0.0165
310M200US41500,41500,"Salinas, CA Metro Area",0.4579,0.007
310M200US41540,41540,"Salisbury, MD-DE Metro Area",0.4453,0.0081
310M200US41620,41620,"Salt Lake City, UT Metro Area",0.4319,0.0046
310M200US41660,41660,"San Angelo, TX Metro Area",0.4652,0.0213
310M200US41700,41700,"San Antonio-New Braunfels, TX Metro Area",0.4557,0.0034
310M200US41740,41740,"San Diego-Carlsbad, CA Metro Area",0.4654,0.0027
310M200US41760,41760,"Sandpoint, ID Micro Area",0.4657,0.0219
310M200US41780,41780,"Sandusky, OH Micro Area",0.434,0.0145
310M200US41820,41820,"Sanford, NC Micro Area",0.4176,0.0117
310M200US41860,41860,"San Francisco-Oakland-Hayward, CA Metro Area",0.4869,0.0019
310M200US41940,41940,"San Jose-Sunnyvale-Santa Clara, CA Metro Area",0.4626,0.003
310M200US42020,42020,"San Luis Obispo-Paso Robles-Arroyo Grande, CA Metro Area",0.4551,0.0087
310M200US42100,42100,"Santa Cruz-Watsonville, CA Metro Area",0.4686,0.0077
310M200US42140,42140,"Santa Fe, NM Metro Area",0.4859,0.0102
310M200US42200,42200,"Santa Maria-Santa Barbara, CA Metro Area",0.4851,0.0074
310M200US42220,42220,"Santa Rosa, CA Metro Area",0.451,0.0071
310M200US42300,42300,"Sault Ste. Marie, MI Micro Area",0.4443,0.0172
310M200US42340,42340,"Savannah, GA Metro Area",0.4553,0.0058
310M200US42380,42380,"Sayre, PA Micro Area",0.4215,0.0086
310M200US42420,42420,"Scottsbluff, NE Micro Area",0.4463,0.0243
310M200US42460,42460,"Scottsboro, AL Micro Area",0.4473,0.0137
310M200US42540,42540,"Scranton--Wilkes-Barre--Hazleton, PA Metro Area",0.4509,0.0042
310M200US42620,42620,"Searcy, AR Micro Area",0.4667,0.0214
310M200US42660,42660,"Seattle-Tacoma-Bellevue, WA Metro Area",0.4494,0.0025
310M200US42680,42680,"Sebastian-Vero Beach, FL Metro Area",0.5251,0.0152
310M200US42700,42700,"Sebring, FL Metro Area",0.4375,0.0161
310M200US42740,42740,"Sedalia, MO Micro Area",0.4381,0.0178
310M200US42780,42780,"Selinsgrove, PA Micro Area",0.432,0.0277
310M200US42820,42820,"Selma, AL Micro Area",0.5281,0.0194
310M200US42860,42860,"Seneca, SC Micro Area",0.4742,0.0235
310M200US42900,42900,"Seneca Falls, NY Micro Area",0.4171,0.013
310M200US42940,42940,"Sevierville, TN Micro Area",0.4337,0.0216
310M200US42980,42980,"Seymour, IN Micro Area",0.3931,0.0154
310M200US43020,43020,"Shawano, WI Micro Area",0.4121,0.013
310M200US43060,43060,"Shawnee, OK Micro Area",0.4465,0.0152
310M200US43100,43100,"Sheboygan, WI Metro Area",0.4036,0.0091
310M200US43140,43140,"Shelby, NC Micro Area",0.4584,0.0149
